Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
3. COMUNICACIONES FIJAS   -   3.1. Telefonía fija minorista   -   a) Ingresos,,,,,,,,,,,,,,,,,,,
15. Ingresos de telefonía fija por tipo de tráfico y segmento,,,,,,,,,,,,,,,,,,,
(millones de euros),,,,,,,,,,,,,,,,,,,
,I/2019,,II/2019,,III/2019,,IV/2019,,I/2020,,II/2020,,III/2020,,IV/2020,,I/2021,,
,Residencial,Negocios ,Residencial,Negocios ,Residencial,Negocios ,Residencial,Negocios ,Residencial,Negocios ,Residencial,Negocios ,Residencial,Negocios ,Residencial,Negocios ,Residencial,Negocios ,
Fijos nacionales,,,,,,,,,,,,,,,,,,,
,81.78,36.77,72.53,32.93,70.85,30.21,69.14,30.94,67.95,28.82,67.85,25.36,63.87,20.90,63.51,22.88,60.14,21.73,
Internacional,,,,,,,,,,,,,,,,,,,
,5.25,7.31,4.84,7.62,4.59,5.82,4.56,5.98,4.50,5.34,4.89,4.93,4.04,4.12,3.95,3.58,4.02,3.79,
A móviles,,,,,,,,,,,,,,,,,,,
,38.75,29.65,35.14,33.29,36.27,28.83,35.33,29.82,34.37,28.44,40.76,28.38,31.04,39.98,30.07,31.89,28.91,29.75,
Inteligencia de red,,,,,,,,,,,,,,,,,,,
,6.10,15.15,5.89,15.65,7.11,14.51,7.00,13.86,6.39,15.99,6.88,14.95,6.20,17.05,6.02,15.10,4.79,21.51,
Otro tráfico,,,,,,,,,,,,,,,,,,,
,4.60,1.57,4.14,1.44,3.84,1.40,4.15,1.32,4.50,1.51,5.04,1.14,5.16,1.66,4.72,1.31,4.36,1.46,
Total,,,,,,,,,,,,,,,,,,,
,136.48,90.46,122.55,90.94,122.66,80.77,120.18,81.92,117.72,80.10,125.42,74.75,110.31,83.71,108.27,74.76,102.23,78.26,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Última actualización 28/09/2021,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,
