Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
3. COMUNICACIONES FIJAS   -   3.1. Telefonía fija minorista   -   b) Líneas y clientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17. Tasa de penetración de la telefonía fija sobre la población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(líneas/100 habitantes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Penetración,41.8,42.4,42.3,0.0,41.4,41.4,41.3,41.6,44.3,44.4,44.5,44.9,44.6,45.0,44.7,44.7,43.8,43.5,43.4,43.4,43.2,43.1,42.9,42.9,42.7,42.3,42.2,42.3,41.9,41.7,41.4,41.3,41.2,41.0,40.9,40.9,41.0,40.9,40.9,41.0,41.2,41.0,41.0,41.3,41.3,41.3,41.5,41.8,41.8,41.8,41.8,41.9,42.1,42.0,42.1,42.1,41.8,41.7,41.5,41.6,41.0,41.1,41.1,40.8,40.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La penetración no tiene por qué coincidir con los datos anuales, debido a que el número de operadores requeridos con periodicidad trimestral es menor.

Con la finalidad de armonizar los indicadores de penetración de la CNMC con los publicados por la Comisión Europea, se utiliza la cifra de población del INE basada en el censo de población de 2011. Para el 2021 se utiliza el dato de población provisional a 1 de enero de 2021 (publicado el 23 de junio de 2021 por el INE), que asciende a 47.394.223 habitantes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 04/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
